job title,category,education requirement,experience years,required skills,salary range,skills_list,combined_text
clinical lab scientist,Healthcare,Bachelor's in Clinical Laboratory Science,1,Laboratory Analysis|Quality Control|Equipment Maintenance|Data Analysis|Attention to Detail|Safety,60-110K,"['laboratory analysis', 'quality control', 'equipment maintenance', 'data analysis', 'attention to detail', 'safety']",clinical lab scientist laboratory analysis quality control equipment maintenance data analysis attention to detail safety
radiographer,Healthcare,Associate in Radiography|Radiography License,1,Imaging Technology|Patient Care|Radiation Safety|Technical Skills|Communication|Attention to Detail,60-105K,"['imaging technology', 'patient care', 'radiation safety', 'technical skills', 'communication', 'attention to detail']",radiographer imaging technology patient care radiation safety technical skills communication attention to detail
dentist,Healthcare,Doctor of Dental Surgery|Dental License,1,Dental Procedures|Patient Communication|Diagnosis|Attention to Detail|Compassion|Clinical Skills,150-200K,"['dental procedures', 'patient communication', 'diagnosis', 'attention to detail', 'compassion', 'clinical skills']",dentist dental procedures patient communication diagnosis attention to detail compassion clinical skills
psychologist,Healthcare,Master's or PhD in Psychology,2,Psychological Assessment|Counseling|Research|Patient Communication|Critical Thinking|Empathy,70-130K,"['psychological assessment', 'counseling', 'research', 'patient communication', 'critical thinking', 'empathy']",psychologist psychological assessment counseling research patient communication critical thinking empathy
psychiatrist,Healthcare,Medical Degree|Psychiatry Residency|License,5,Psychiatric Diagnosis|Treatment Planning|Patient Communication|Medical Knowledge|Problem Solving|Empathy,200-350K,"['psychiatric diagnosis', 'treatment planning', 'patient communication', 'medical knowledge', 'problem solving', 'empathy']",psychiatrist psychiatric diagnosis treatment planning patient communication medical knowledge problem solving empathy
graphic designer,Creative & Design,Bachelor's in Graphic Design|Design Certification,1,Design Software|Creativity|Visual Communication|Adobe Creative Suite|Branding|Attention to Detail,50-100K,"['design software', 'creativity', 'visual communication', 'adobe creative suite', 'branding', 'attention to detail']",graphic designer design software creativity visual communication adobe creative suite branding attention to detail
ux designer,Creative & Design,Bachelor's in Design|UX Certification,2,User Research|Wireframing|Prototyping|Usability Testing|Design Thinking|Communication,70-130K,"['user research', 'wireframing', 'prototyping', 'usability testing', 'design thinking', 'communication']",ux designer user research wireframing prototyping usability testing design thinking communication
ui designer,Creative & Design,Bachelor's in Design|UI Certification,1,Visual Design|Prototyping Tools|Design Systems|UI Principles|Figma|Creativity,65-120K,"['visual design', 'prototyping tools', 'design systems', 'ui principles', 'figma', 'creativity']",ui designer visual design prototyping tools design systems ui principles figma creativity
web designer,Creative & Design,Bachelor's in Design|Web Design Certification,1,Web Design|HTML/CSS|Design Tools|User Experience|Responsive Design|Creativity,55-110K,"['web design', 'html', 'css', 'design tools', 'user experience', 'responsive design', 'creativity']",web designer web design html css design tools user experience responsive design creativity
video editor,Creative & Design,Associate in Film/Video|Certification,1,Video Editing Software|Storytelling|Color Grading|Audio Editing|Creativity|Attention to Detail,50-100K,"['video editing software', 'storytelling', 'color grading', 'audio editing', 'creativity', 'attention to detail']",video editor video editing software storytelling color grading audio editing creativity attention to detail
animator,Creative & Design,Bachelor's in Animation|Animation Certification,1,Animation Software|Creativity|Storytelling|Drawing|Timing|Technical Skills,55-110K,"['animation software', 'creativity', 'storytelling', 'drawing', 'timing', 'technical skills']",animator animation software creativity storytelling drawing timing technical skills
3d artist,Creative & Design,Bachelor's in 3D Art|Certification,1,3D Modeling|Texturing|Rendering|Software Skills|Creativity|Problem Solving,55-110K,"['3d modeling', 'texturing', 'rendering', 'software skills', 'creativity', 'problem solving']",3d artist 3d modeling texturing rendering software skills creativity problem solving
creative director,Creative & Design,Bachelor's in Design|Master's in Creative Fields,5,Creative Vision|Leadership|Communication|Design Knowledge|Strategic Thinking|Team Management,90-160K,"['creative vision', 'leadership', 'communication', 'design knowledge', 'strategic thinking', 'team management']",creative director creative vision leadership communication design knowledge strategic thinking team management
art director,Creative & Design,Bachelor's in Art|Bachelor's in Design,3,Artistic Direction|Visual Communication|Team Leadership|Design Principles|Communication|Creativity,70-130K,"['artistic direction', 'visual communication', 'team leadership', 'design principles', 'communication', 'creativity']",art director artistic direction visual communication team leadership design principles communication creativity
photographer,Creative & Design,Associate in Photography|Portfolio,0,Photography|Editing Software|Lighting|Composition|Client Service|Creativity,40-90K,"['photography', 'editing software', 'lighting', 'composition', 'client service', 'creativity']",photographer photography editing software lighting composition client service creativity
copywriter,Creative & Design,Bachelor's in English|Bachelor's in Marketing,1,Writing|Creativity|SEO Knowledge|Marketing|Brand Voice|Research,50-95K,"['writing', 'creativity', 'seo knowledge', 'marketing', 'brand voice', 'research']",copywriter writing creativity seo knowledge marketing brand voice research
journalist,Entertainment & Media,Bachelor's in Journalism|Bachelor's in Communications,1,Writing|Reporting|Research|Communication|Ethics|Source Development,45-80K,"['writing', 'reporting', 'research', 'communication', 'ethics', 'source development']",journalist writing reporting research communication ethics source development
producer,Entertainment & Media,Bachelor's in Production|Bachelor's in Communications,2,Production Management|Leadership|Technical Knowledge|Problem Solving|Communication|Creativity,60-120K,"['production management', 'leadership', 'technical knowledge', 'problem solving', 'communication', 'creativity']",producer production management leadership technical knowledge problem solving communication creativity
director,Private Sector Management,Bachelor's in Business|Master's in Business,5,Strategic Planning|Leadership|Department Management|Budget Control|Decision Making|Communication,100-180K,"['strategic planning', 'leadership', 'department management', 'budget control', 'decision making', 'communication']",director strategic planning leadership department management budget control decision making communication
writer,Entertainment & Media,Bachelor's in Creative Writing|Bachelor's in Literature,0,Writing|Storytelling|Research|Creativity|Communication|Attention to Detail,40-80K,"['writing', 'storytelling', 'research', 'creativity', 'communication', 'attention to detail']",writer writing storytelling research creativity communication attention to detail
editor,Entertainment & Media,Bachelor's in English|Bachelor's in Journalism,2,Content Editing|Writing|Organization|Attention to Detail|Communication|Management,55-100K,"['content editing', 'writing', 'organization', 'attention to detail', 'communication', 'management']",editor content editing writing organization attention to detail communication management
sound engineer,Entertainment & Media,Associate in Audio Engineering|Certification,1,Audio Engineering|Sound Design|Technical Skills|Equipment Knowledge|Problem Solving|Precision,50-100K,"['audio engineering', 'sound design', 'technical skills', 'equipment knowledge', 'problem solving', 'precision']",sound engineer audio engineering sound design technical skills equipment knowledge problem solving precision
broadcast technician,Entertainment & Media,Associate in Broadcast Technology,1,Broadcasting|Equipment Operation|Technical Knowledge|Troubleshooting|Safety|Attention to Detail,45-85K,"['broadcasting', 'equipment operation', 'technical knowledge', 'troubleshooting', 'safety', 'attention to detail']",broadcast technician broadcasting equipment operation technical knowledge troubleshooting safety attention to detail
lawyer,Legal Services,Juris Doctor|Bar License,1,Legal Knowledge|Research|Writing|Negotiation|Communication|Ethics,80-200K,"['legal knowledge', 'research', 'writing', 'negotiation', 'communication', 'ethics']",lawyer legal knowledge research writing negotiation communication ethics
paralegal,Legal Services,Bachelor's in Paralegal Studies|Associate in Law,1,Legal Research|Document Preparation|Organization|Communication|Attention to Detail|Legal Knowledge,50-90K,"['legal research', 'document preparation', 'organization', 'communication', 'attention to detail', 'legal knowledge']",paralegal legal research document preparation organization communication attention to detail legal knowledge
legal secretary,Legal Services,High School|Legal Secretary Certification,0,Legal Knowledge|Administrative Skills|Organization|Communication|Typing|Attention to Detail,40-70K,"['legal knowledge', 'administrative skills', 'organization', 'communication', 'typing', 'attention to detail']",legal secretary legal knowledge administrative skills organization communication typing attention to detail
law clerk,Legal Services,Juris Doctor|Law School Graduate,0,Legal Research|Writing|Analysis|Attention to Detail|Communication|Problem Solving,50-85K,"['legal research', 'writing', 'analysis', 'attention to detail', 'communication', 'problem solving']",law clerk legal research writing analysis attention to detail communication problem solving
judge,Legal Services,Juris Doctor|Bar License|Judicial Appointment,10,Legal Expertise|Decision Making|Ethics|Fairness|Communication|Leadership,150-250K,"['legal expertise', 'decision making', 'ethics', 'fairness', 'communication', 'leadership']",judge legal expertise decision making ethics fairness communication leadership
corporate lawyer,Legal Services,Juris Doctor|Bar License|Corporate Law Specialization,3,Corporate Law|Contract Negotiation|Research|Writing|Strategic Thinking|Communication,120-300K,"['corporate law', 'contract negotiation', 'research', 'writing', 'strategic thinking', 'communication']",corporate lawyer corporate law contract negotiation research writing strategic thinking communication
patent attorney,Legal Services,Juris Doctor|Patent Bar License,3,Patent Law|Technical Knowledge|Research|Writing|Communication|Legal Expertise,130-280K,"['patent law', 'technical knowledge', 'research', 'writing', 'communication', 'legal expertise']",patent attorney patent law technical knowledge research writing communication legal expertise
tax attorney,Legal Services,Juris Doctor|Bar License|Tax Law Specialization,3,Tax Law|Legal Research|Planning|Writing|Communication|Analytical Skills,110-250K,"['tax law', 'legal research', 'planning', 'writing', 'communication', 'analytical skills']",tax attorney tax law legal research planning writing communication analytical skills
management consultant,Consulting,Master's in Business|MBA,2,Business Analysis|Problem Solving|Communication|Research|Strategic Thinking|Project Management,90-180K,"['business analysis', 'problem solving', 'communication', 'research', 'strategic thinking', 'project management']",management consultant business analysis problem solving communication research strategic thinking project management
strategy consultant,Consulting,MBA|Master's in Strategy,3,Strategic Thinking|Analysis|Communication|Market Knowledge|Problem Solving|Leadership,100-200K,"['strategic thinking', 'analysis', 'communication', 'market knowledge', 'problem solving', 'leadership']",strategy consultant strategic thinking analysis communication market knowledge problem solving leadership
business consultant,Consulting,Bachelor's in Business|MBA,2,Business Analysis|Process Improvement|Communication|Problem Solving|Data Analysis|Project Management,80-150K,"['business analysis', 'process improvement', 'communication', 'problem solving', 'data analysis', 'project management']",business consultant business analysis process improvement communication problem solving data analysis project management
it consultant,Consulting,Bachelor's in Computer Science|IT Certification,3,IT Knowledge|Problem Solving|Communication|System Design|Project Management|Technical Expertise,90-160K,"['it knowledge', 'problem solving', 'communication', 'system design', 'project management', 'technical expertise']",it consultant it knowledge problem solving communication system design project management technical expertise
hr consultant,Consulting,Bachelor's in HR|Master's in Business,3,HR Expertise|Organizational Development|Communication|Problem Solving|Strategic Thinking|Analysis,85-155K,"['hr expertise', 'organizational development', 'communication', 'problem solving', 'strategic thinking', 'analysis']",hr consultant hr expertise organizational development communication problem solving strategic thinking analysis
customer service representative,Sales & Customer Service,High School|Customer Service Certification,0,Customer Service|Communication|Problem Solving|Patience|Product Knowledge|Attention to Detail,30-55K,"['customer service', 'communication', 'problem solving', 'patience', 'product knowledge', 'attention to detail']",customer service representative customer service communication problem solving patience product knowledge attention to detail
customer success manager,Sales & Customer Service,Bachelor's in Business|Customer Success Certification,2,Customer Relations|Account Management|Problem Solving|Communication|Product Knowledge|Analytics,60-110K,"['customer relations', 'account management', 'problem solving', 'communication', 'product knowledge', 'analytics']",customer success manager customer relations account management problem solving communication product knowledge analytics
call center manager,Sales & Customer Service,High School|Management Experience,2,Team Management|Customer Service|Leadership|Performance Metrics|Problem Solving|Communication,50-90K,"['team management', 'customer service', 'leadership', 'performance metrics', 'problem solving', 'communication']",call center manager team management customer service leadership performance metrics problem solving communication
technical support specialist,Sales & Customer Service,High School|IT Certification,1,Technical Knowledge|Troubleshooting|Communication|Customer Service|Problem Solving|Patience,40-75K,"['technical knowledge', 'troubleshooting', 'communication', 'customer service', 'problem solving', 'patience']",technical support specialist technical knowledge troubleshooting communication customer service problem solving patience
research scientist,Research & Development,Master's in Science|PhD,2,Research|Scientific Knowledge|Experimentation|Data Analysis|Writing|Problem Solving,80-150K,"['research', 'scientific knowledge', 'experimentation', 'data analysis', 'writing', 'problem solving']",research scientist research scientific knowledge experimentation data analysis writing problem solving
product researcher,Research & Development,Bachelor's in Science|Master's in Research,2,Research Methodology|Data Analysis|User Research|Report Writing|Problem Solving|Communication,70-130K,"['research methodology', 'data analysis', 'user research', 'report writing', 'problem solving', 'communication']",product researcher research methodology data analysis user research report writing problem solving communication
laboratory manager,Research & Development,Master's in Science|Bachelor's in Laboratory Science,3,Laboratory Management|Scientific Knowledge|Leadership|Safety|Equipment Maintenance|Quality Control,75-130K,"['laboratory management', 'scientific knowledge', 'leadership', 'safety', 'equipment maintenance', 'quality control']",laboratory manager laboratory management scientific knowledge leadership safety equipment maintenance quality control
administrative assistant,Administration,High School|Administrative Certification,0,Administrative Skills|Organization|Communication|Time Management|Typing|Software Skills,35-60K,"['administrative skills', 'organization', 'communication', 'time management', 'typing', 'software skills']",administrative assistant administrative skills organization communication time management typing software skills
executive assistant,Administration,Bachelor's in Business|Administrative Certification,2,Executive Support|Organization|Communication|Discretion|Problem Solving|Leadership Support,55-95K,"['executive support', 'organization', 'communication', 'discretion', 'problem solving', 'leadership support']",executive assistant executive support organization communication discretion problem solving leadership support
office manager,Administration,High School|Leadership Experience,2,Office Management|Leadership|Organization|Communication|Problem Solving|Administrative Skills,50-85K,"['office management', 'leadership', 'organization', 'communication', 'problem solving', 'administrative skills']",office manager office management leadership organization communication problem solving administrative skills
receptionist,Administration,High School,0,Customer Service|Communication|Organization|Phone Skills|Computer Skills|Friendliness,30-55K,"['customer service', 'communication', 'organization', 'phone skills', 'computer skills', 'friendliness']",receptionist customer service communication organization phone skills computer skills friendliness
chief executive officer,Private Sector Management,MBA|Master's in Business,10,Strategic Leadership|Vision|Decision Making|Business Acumen|Communication|Executive Management,200-500K,"['strategic leadership', 'vision', 'decision making', 'business acumen', 'communication', 'executive management']",chief executive officer strategic leadership vision decision making business acumen communication executive management
coo,Private Sector Management,MBA|Master's in Business,10,Operations Management|Strategic Thinking|Leadership|Business Operations|Decision Making|Communication,180-400K,"['operations management', 'strategic thinking', 'leadership', 'business operations', 'decision making', 'communication']",coo operations management strategic thinking leadership business operations decision making communication
vice president,Private Sector Management,Master's in Business|MBA,7,Strategic Leadership|Department Management|Business Development|Decision Making|Communication|Vision,140-300K,"['strategic leadership', 'department management', 'business development', 'decision making', 'communication', 'vision']",vice president strategic leadership department management business development decision making communication vision
general manager,Private Sector Management,Bachelor's in Business|Master's in Business,5,Business Management|Leadership|P&L Responsibility|Strategic Planning|Decision Making|Communication,90-170K,"['business management', 'leadership', 'p&l responsibility', 'strategic planning', 'decision making', 'communication']",general manager business management leadership p l responsibility strategic planning decision making communication
government analyst,Government & Public Service,Bachelor's in Political Science|Bachelor's in Public Administration,1,Policy Analysis|Research|Writing|Data Analysis|Government Knowledge|Communication,55-95K,"['policy analysis', 'research', 'writing', 'data analysis', 'government knowledge', 'communication']",government analyst policy analysis research writing data analysis government knowledge communication
public administrator,Government & Public Service,Master's in Public Administration|MPA,2,Public Administration|Leadership|Policy Knowledge|Budget Management|Strategic Planning|Communication,65-120K,"['public administration', 'leadership', 'policy knowledge', 'budget management', 'strategic planning', 'communication']",public administrator public administration leadership policy knowledge budget management strategic planning communication
policy advisor,Government & Public Service,Master's in Public Policy|Master's in Relevant Field,3,Policy Expertise|Analysis|Writing|Research|Strategic Thinking|Communication,75-140K,"['policy expertise', 'analysis', 'writing', 'research', 'strategic thinking', 'communication']",policy advisor policy expertise analysis writing research strategic thinking communication
electrical utilities manager,Energy & Utilities,Bachelor's in Electrical Engineering|Engineering License,3,Electrical Systems|Management|Safety|Regulatory Knowledge|Problem Solving|Leadership,85-145K,"['electrical systems', 'management', 'safety', 'regulatory knowledge', 'problem solving', 'leadership']",electrical utilities manager electrical systems management safety regulatory knowledge problem solving leadership
water treatment operator,Energy & Utilities,Certificate in Water Treatment|High School,1,Water Treatment|Equipment Operation|Safety|Testing|Compliance|Maintenance,50-85K,"['water treatment', 'equipment operation', 'safety', 'testing', 'compliance', 'maintenance']",water treatment operator water treatment equipment operation safety testing compliance maintenance
safety engineer,Energy & Utilities,Bachelor's in Safety Engineering|Safety Certification,2,Safety Management|Risk Assessment|Regulatory Knowledge|Problem Solving|Communication|Leadership,70-130K,"['safety management', 'risk assessment', 'regulatory knowledge', 'problem solving', 'communication', 'leadership']",safety engineer safety management risk assessment regulatory knowledge problem solving communication leadership
agricultural engineer,Agriculture & Food,Bachelor's in Agricultural Engineering,2,Agricultural Systems|Equipment Design|Problem Solving|Technical Knowledge|Sustainability|Analysis,60-115K,"['agricultural systems', 'equipment design', 'problem solving', 'technical knowledge', 'sustainability', 'analysis']",agricultural engineer agricultural systems equipment design problem solving technical knowledge sustainability analysis
food scientist,Agriculture & Food,Bachelor's in Food Science|Master's in Food Science,2,Food Science|Research|Testing|Quality Control|Problem Solving|Technical Knowledge,65-125K,"['food science', 'research', 'testing', 'quality control', 'problem solving', 'technical knowledge']",food scientist food science research testing quality control problem solving technical knowledge
nutritionist,Agriculture & Food,Bachelor's in Nutrition|Nutritionist Certification,1,Nutrition Science|Meal Planning|Client Communication|Research|Health Knowledge|Counseling,55-100K,"['nutrition science', 'meal planning', 'client communication', 'research', 'health knowledge', 'counseling']",nutritionist nutrition science meal planning client communication research health knowledge counseling
chef,Agriculture & Food,Culinary School|Culinary Certification,1,Cooking|Recipe Development|Kitchen Management|Creativity|Food Safety|Time Management,50-100K,"['cooking', 'recipe development', 'kitchen management', 'creativity', 'food safety', 'time management']",chef cooking recipe development kitchen management creativity food safety time management
restaurant manager,Agriculture & Food,High School|Management Experience,2,Restaurant Management|Leadership|Customer Service|Financial Management|Staff Management|Communication,50-90K,"['restaurant management', 'leadership', 'customer service', 'financial management', 'staff management', 'communication']",restaurant manager restaurant management leadership customer service financial management staff management communication
hotel manager,Hospitality & Tourism,Bachelor's in Hospitality Management,3,Hotel Management|Leadership|Customer Service|Budget Control|Staff Management|Communication,60-110K,"['hotel management', 'leadership', 'customer service', 'budget control', 'staff management', 'communication']",hotel manager hotel management leadership customer service budget control staff management communication
event coordinator,Hospitality & Tourism,Associate in Event Planning|Certification,1,Event Planning|Organization|Communication|Problem Solving|Vendor Management|Budget Management,45-85K,"['event planning', 'organization', 'communication', 'problem solving', 'vendor management', 'budget management']",event coordinator event planning organization communication problem solving vendor management budget management
travel agent,Hospitality & Tourism,High School|Travel Industry Certification,0,Travel Knowledge|Customer Service|Sales|Computer Skills|Organization|Communication,35-70K,"['travel knowledge', 'customer service', 'sales', 'computer skills', 'organization', 'communication']",travel agent travel knowledge customer service sales computer skills organization communication
tour guide,Hospitality & Tourism,High School|Language Skills,0,Communication|Regional Knowledge|Customer Service|Cultural Sensitivity|Problem Solving|Enthusiasm,30-60K,"['communication', 'regional knowledge', 'customer service', 'cultural sensitivity', 'problem solving', 'enthusiasm']",tour guide communication regional knowledge customer service cultural sensitivity problem solving enthusiasm
sports manager,Sports & Recreation,Bachelor's in Sports Management,2,Sports Management|Leadership|Marketing|Financial Management|Problem Solving|Communication,60-120K,"['sports management', 'leadership', 'marketing', 'financial management', 'problem solving', 'communication']",sports manager sports management leadership marketing financial management problem solving communication
coach,Sports & Recreation,Bachelor's in Physical Education|Coaching Certification,1,Athletic Knowledge|Coaching|Leadership|Communication|Motivation|Training Program Design,40-90K,"['athletic knowledge', 'coaching', 'leadership', 'communication', 'motivation', 'training program design']",coach athletic knowledge coaching leadership communication motivation training program design
personal trainer,Sports & Recreation,Personal Training Certification|High School,0,Fitness Knowledge|Training Program Design|Motivation|Communication|Anatomy|Problem Solving,35-80K,"['fitness knowledge', 'training program design', 'motivation', 'communication', 'anatomy', 'problem solving']",personal trainer fitness knowledge training program design motivation communication anatomy problem solving
fitness manager,Sports & Recreation,Associate in Fitness Management|High School,2,Fitness Industry Knowledge|Management|Customer Service|Sales|Leadership|Communication,50-90K,"['fitness industry knowledge', 'management', 'customer service', 'sales', 'leadership', 'communication']",fitness manager fitness industry knowledge management customer service sales leadership communication
truck driver,Transportation & Logistics,High School|Commercial Driver's License,0,Driving|Safety|Route Planning|Vehicle Maintenance|Time Management|Responsibility,40-70K,"['driving', 'safety', 'route planning', 'vehicle maintenance', 'time management', 'responsibility']",truck driver driving safety route planning vehicle maintenance time management responsibility
delivery driver,Transportation & Logistics,High School|Driver's License,0,Driving|Customer Service|Organization|Time Management|Safety|Communication,35-65K,"['driving', 'customer service', 'organization', 'time management', 'safety', 'communication']",delivery driver driving customer service organization time management safety communication
fleet manager,Transportation & Logistics,High School|Management Experience,3,Fleet Management|Maintenance|Safety|Cost Management|Leadership|Problem Solving,60-110K,"['fleet management', 'maintenance', 'safety', 'cost management', 'leadership', 'problem solving']",fleet manager fleet management maintenance safety cost management leadership problem solving
pilot,Transportation & Logistics,Commercial Pilot License|Training,2,Flying|Navigation|Safety|Technical Knowledge|Decision Making|Responsibility,100-200K,"['flying', 'navigation', 'safety', 'technical knowledge', 'decision making', 'responsibility']",pilot flying navigation safety technical knowledge decision making responsibility
social worker,Human Services & Social Work,Master's in Social Work|MSW License,1,Case Management|Counseling|Problem Solving|Communication|Empathy|Crisis Intervention,45-85K,"['case management', 'counseling', 'problem solving', 'communication', 'empathy', 'crisis intervention']",social worker case management counseling problem solving communication empathy crisis intervention
counselor,Human Services & Social Work,Master's in Counseling|Licensing Credentials,1,Counseling|Active Listening|Problem Solving|Empathy|Communication|Treatment Planning,50-95K,"['counseling', 'active listening', 'problem solving', 'empathy', 'communication', 'treatment planning']",counselor counseling active listening problem solving empathy communication treatment planning
community outreach coordinator,Human Services & Social Work,Bachelor's in Social Work|Bachelor's in Communications,1,Community Engagement|Program Management|Communication|Organization|Problem Solving|Cultural Sensitivity,45-80K,"['community engagement', 'program management', 'communication', 'organization', 'problem solving', 'cultural sensitivity']",community outreach coordinator community engagement program management communication organization problem solving cultural sensitivity
grant writer,Non-profit & Charity,Bachelor's in Writing|Grant Writing Certification,1,Grant Writing|Research|Communication|Organization|Problem Solving|Fundraising Knowledge,50-90K,"['grant writing', 'research', 'communication', 'organization', 'problem solving', 'fundraising knowledge']",grant writer grant writing research communication organization problem solving fundraising knowledge
non profit director,Non-profit & Charity,Master's in Non-profit Management|Master's in Business,5,Non-profit Leadership|Fundraising|Strategic Planning|Budget Management|Communication|Vision,70-130K,"['non-profit leadership', 'fundraising', 'strategic planning', 'budget management', 'communication', 'vision']",non profit director non profit leadership fundraising strategic planning budget management communication vision
fundraiser,Non-profit & Charity,Bachelor's in Communications|Fundraising Certification,1,Fundraising|Relationship Building|Communication|Sales|Problem Solving|Event Planning,50-100K,"['fundraising', 'relationship building', 'communication', 'sales', 'problem solving', 'event planning']",fundraiser fundraising relationship building communication sales problem solving event planning
environmental scientist,Environmental,Bachelor's in Environmental Science|Master's in Environmental Science,1,Environmental Science|Research|Analysis|Problem Solving|Technical Knowledge|Sustainability,60-120K,"['environmental science', 'research', 'analysis', 'problem solving', 'technical knowledge', 'sustainability']",environmental scientist environmental science research analysis problem solving technical knowledge sustainability
sustainability consultant,Environmental,Bachelor's in Environmental Science|MBA,2,Sustainability Strategy|Environmental Knowledge|Business Acumen|Communication|Problem Solving|Analysis,70-140K,"['sustainability strategy', 'environmental knowledge', 'business acumen', 'communication', 'problem solving', 'analysis']",sustainability consultant sustainability strategy environmental knowledge business acumen communication problem solving analysis
content creator,Media Production,High School|Digital Media Skills,0,Content Creation|Social Media|Video Production|Creativity|Communication|Technical Skills,30-80K,"['content creation', 'social media', 'video production', 'creativity', 'communication', 'technical skills']",content creator content creation social media video production creativity communication technical skills
social media content creator,Media Production,High School|Social Media Certification,0,Social Media|Content Creation|Photography/Videography|Analytics|Creativity|Communication,35-85K,"['social media', 'content creation', 'photography', 'videography', 'analytics', 'creativity', 'communication']",social media content creator social media content creation photography videography analytics creativity communication
videographer,Media Production,Associate in Videography|Certification,1,Video Shooting|Editing|Lighting|Storytelling|Technical Skills|Creativity,45-95K,"['video shooting', 'editing', 'lighting', 'storytelling', 'technical skills', 'creativity']",videographer video shooting editing lighting storytelling technical skills creativity
blockchain developer,Technology,Bachelor's in Computer Science|Blockchain Certification,2,Solidity|Cryptocurrency|Smart Contracts|Blockchain Technology|Python|Problem Solving,100-200K,"['solidity', 'cryptocurrency', 'smart contracts', 'blockchain technology', 'python', 'problem solving']",blockchain developer solidity cryptocurrency smart contracts blockchain technology python problem solving
ai ml specialist,Technology,Master's in AI|Master's in Machine Learning,2,Artificial Intelligence|Deep Learning|Python|TensorFlow|Research|Problem Solving,110-200K,"['artificial intelligence', 'deep learning', 'python', 'tensorflow', 'research', 'problem solving']",ai ml specialist artificial intelligence deep learning python tensorflow research problem solving
iot engineer,Technology,Bachelor's in Electronics|Bachelor's in Computer Engineering,2,IoT Technology|Embedded Systems|Networking|C/C++|Sensors|System Design,85-150K,"['iot technology', 'embedded systems', 'networking', 'c', 'c++', 'sensors', 'system design']",iot engineer iot technology embedded systems networking c c sensors system design
ar vr developer,Technology,Bachelor's in Computer Science|Specialized Training,2,Unity|Unreal Engine|C#|3D Graphics|AR/VR Platforms|Problem Solving,90-160K,"['unity', 'unreal engine', 'c#', '3d graphics', 'ar', 'vr platforms', 'problem solving']",ar vr developer unity unreal engine c 3d graphics ar vr platforms problem solving
devsecops engineer,Technology,Bachelor's in Computer Science|Security Certification,3,DevOps|Security|CI/CD|Container Security|Compliance|Linux,110-180K,"['devops', 'security', 'ci', 'cd', 'container security', 'compliance', 'linux']",devsecops engineer devops security ci cd container security compliance linux
solution architect,Technology,Master's in Computer Science|Architecture Certification,5,Solution Design|System Architecture|Technical Expertise|Communication|Business Acumen|Leadership,120-200K,"['solution design', 'system architecture', 'technical expertise', 'communication', 'business acumen', 'leadership']",solution architect solution design system architecture technical expertise communication business acumen leadership
enterprise architect,Technology,Master's in Computer Science|Enterprise Architecture Certification,7,Enterprise Architecture|Strategic Design|Leadership|Communication|Technical Expertise|Vision,140-240K,"['enterprise architecture', 'strategic design', 'leadership', 'communication', 'technical expertise', 'vision']",enterprise architect enterprise architecture strategic design leadership communication technical expertise vision
react developer,Technology,Bachelor's in Computer Science|Bootcamp,1,JavaScript|React|CSS|HTML|Redux|API Integration,65-120K,"['javascript', 'react', 'css', 'html', 'redux', 'api integration']",react developer javascript react css html redux api integration
vue developer,Technology,Bachelor's in Computer Science,1,JavaScript|Vue.js|CSS|HTML|Vuex|API Integration,60-115K,"['javascript', 'vue.js', 'css', 'html', 'vuex', 'api integration']",vue developer javascript vue js css html vuex api integration
angular developer,Technology,Bachelor's in Computer Science,2,JavaScript|Angular|TypeScript|CSS|RxJS|API Integration,70-130K,"['javascript', 'angular', 'typescript', 'css', 'rxjs', 'api integration']",angular developer javascript angular typescript css rxjs api integration
php developer,Technology,Bachelor's in Computer Science,1,PHP|Laravel|Symfony|MySQL|API Development|HTML/CSS,55-105K,"['php', 'laravel', 'symfony', 'mysql', 'api development', 'html', 'css']",php developer php laravel symfony mysql api development html css
python developer,Technology,Bachelor's in Computer Science,1,Python|Django|Flask|SQL|REST API|Problem Solving,65-120K,"['python', 'django', 'flask', 'sql', 'rest api', 'problem solving']",python developer python django flask sql rest api problem solving
ruby developer,Technology,Bachelor's in Computer Science,1,Ruby|Ruby on Rails|SQL|HTML/CSS|API Development|Problem Solving,65-125K,"['ruby', 'ruby on rails', 'sql', 'html', 'css', 'api development', 'problem solving']",ruby developer ruby ruby on rails sql html css api development problem solving
go developer,Technology,Bachelor's in Computer Science,2,Go|Microservices|API Development|Concurrency|Docker|Problem Solving,80-140K,"['go', 'microservices', 'api development', 'concurrency', 'docker', 'problem solving']",go developer go microservices api development concurrency docker problem solving
rust developer,Technology,Bachelor's in Computer Science,2,Rust|System Programming|Memory Safety|Cargo|Problem Solving|Performance Optimization,85-150K,"['rust', 'system programming', 'memory safety', 'cargo', 'problem solving', 'performance optimization']",rust developer rust system programming memory safety cargo problem solving performance optimization
java backend developer,Technology,Bachelor's in Computer Science,2,Java|Spring Boot|SQL|REST API|Microservices|Maven,75-135K,"['java', 'spring boot', 'sql', 'rest api', 'microservices', 'maven']",java backend developer java spring boot sql rest api microservices maven
c developer,Technology,Bachelor's in Computer Science,2,C++|System Programming|Memory Management|Problem Solving|Debugging|Performance,75-135K,"['c++', 'system programming', 'memory management', 'problem solving', 'debugging', 'performance']",c developer c system programming memory management problem solving debugging performance
